Type of emission,IPCC Code,Sector Level 1,Sector Level 2,Sector Level 3,Sector Level 4,Activity Level 1,Activity Level 2,GHG,GWP (100-yr AR4),2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,SectorActivity_code,,
Included Emissions,1A4c,Agriculture & Forestry,Ag Energy Use,Crop Production,None,Fuel combustion,Natural gas,CH4,25,4.20E-04,2.98E-04,3.79E-04,3.48E-04,3.38E-04,2.80E-04,3.81E-04,3.32E-04,3.14E-04,2.90E-04,2.72E-04,2.72E-04,2.86E-04,2.82E-04,2.58E-04,2.58E-04,2.94E-04,2.70E-04,3.01E-04,60-01-10-99-01-020,,
Included Emissions,1A4c,Agriculture & Forestry,Ag Energy Use,Crop Production,None,Fuel combustion,Natural gas,CO2,1,8.92E-01,6.33E-01,8.04E-01,7.37E-01,7.18E-01,5.95E-01,8.08E-01,7.04E-01,6.67E-01,6.15E-01,5.77E-01,5.77E-01,6.07E-01,5.98E-01,5.46E-01,5.48E-01,6.23E-01,5.74E-01,6.38E-01,60-01-10-99-01-020,,
Included Emissions,1A4c,Agriculture & Forestry,Ag Energy Use,Crop Production,None,Fuel combustion,Natural gas,N2O,298,5.01E-04,3.56E-04,4.52E-04,4.14E-04,4.03E-04,3.34E-04,4.54E-04,3.96E-04,3.75E-04,3.45E-04,3.24E-04,3.24E-04,3.41E-04,3.36E-04,3.07E-04,3.08E-04,3.50E-04,3.22E-04,3.59E-04,60-01-10-99-01-020,,
Included Emissions,1A4c,Agriculture & Forestry,Ag Energy Use,Livestock,None,Fuel combustion,Natural gas,CH4,25,3.95E-05,3.75E-05,4.26E-05,3.70E-05,3.47E-05,3.17E-05,3.27E-05,3.85E-05,3.70E-05,3.54E-05,3.25E-05,3.56E-05,3.94E-05,4.01E-05,3.78E-05,3.99E-05,3.94E-05,4.06E-05,4.22E-05,60-01-27-99-01-020,,
Included Emissions,1A4c,Agriculture & Forestry,Ag Energy Use,Livestock,None,Fuel combustion,Natural gas,CO2,1,8.38E-02,7.95E-02,9.03E-02,7.85E-02,7.36E-02,6.73E-02,6.93E-02,8.17E-02,7.86E-02,7.50E-02,6.89E-02,7.54E-02,8.35E-02,8.50E-02,8.02E-02,8.46E-02,8.36E-02,8.60E-02,8.94E-02,60-01-27-99-01-020,,
Included Emissions,1A4c,Agriculture & Forestry,Ag Energy Use,Livestock,None,Fuel combustion,Natural gas,N2O,298,4.71E-05,4.47E-05,5.07E-05,4.41E-05,4.14E-05,3.78E-05,3.89E-05,4.59E-05,4.42E-05,4.22E-05,3.87E-05,4.24E-05,4.69E-05,4.78E-05,4.51E-05,4.75E-05,4.70E-05,4.83E-05,5.03E-05,60-01-27-99-01-020,,
Included Emissions,1A4c,Agriculture & Forestry,Ag Energy Use,Not Specified,None,Fuel combustion,Distillate,CH4,25,2.54E-03,2.72E-03,3.07E-03,3.03E-03,3.20E-03,3.44E-03,3.91E-03,2.71E-03,3.21E-03,1.77E-03,1.98E-03,2.55E-03,2.49E-03,2.56E-03,3.42E-03,3.70E-03,3.24E-03,2.42E-03,2.51E-03,60-01-99-99-01-033,,
Included Emissions,1A4c,Agriculture & Forestry,Ag Energy Use,Not Specified,None,Fuel combustion,Distillate,CO2,1,2.51E+00,2.68E+00,3.03E+00,2.99E+00,3.16E+00,3.39E+00,3.85E+00,2.67E+00,3.17E+00,1.74E+00,1.95E+00,2.51E+00,2.46E+00,2.52E+00,3.38E+00,3.64E+00,3.20E+00,2.39E+00,2.48E+00,60-01-99-99-01-033,,
Included Emissions,1A4c,Agriculture & Forestry,Ag Energy Use,Not Specified,None,Fuel combustion,Distillate,N2O,298,6.06E-03,6.48E-03,7.32E-03,7.22E-03,7.63E-03,8.19E-03,9.31E-03,6.45E-03,7.66E-03,4.22E-03,4.72E-03,6.08E-03,5.95E-03,6.09E-03,8.16E-03,8.81E-03,7.74E-03,5.77E-03,5.98E-03,60-01-99-99-01-033,,
Included Emissions,1A4c,Agriculture & Forestry,Ag Energy Use,Not Specified,None,Fuel combustion,Ethanol,CH4,25,8.24E-07,1.36E-06,1.70E-06,1.02E-05,1.95E-05,2.07E-05,2.25E-05,1.28E-05,7.32E-06,7.51E-06,1.20E-05,3.85E-05,5.29E-05,3.80E-05,4.14E-05,7.75E-06,3.35E-06,3.50E-06,5.40E-07,60-01-99-99-01-090,,
